entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit,mode,poi_kind
2025-12-15 13:15:00+00:00,long,4335.435,2025-12-15 13:55:00+00:00,4332.755,4332.755,4345.935,-1.854485190067634,SL,aggressive,fvg
2025-12-17 16:30:00+00:00,long,4326.505,2025-12-17 17:55:00+00:00,4342.255,4319.485,4342.255,10.92105521662404,TP,aggressive,ob
2025-12-19 14:50:00+00:00,long,4327.055,2025-12-19 15:05:00+00:00,4342.845,4319.028,4342.845,10.947399559284522,TP,aggressive,ob
2025-12-23 18:15:00+00:00,short,4477.375,2025-12-23 18:55:00+00:00,4481.555,4481.555,4469.265,-2.800748206259443,SL,aggressive,fvg
2025-12-25 23:05:00+00:00,short,4487.665,2025-12-25 23:05:00+00:00,4482.795,4490.735,4482.795,3.255590602239622,TP,aggressive,ob
2025-12-31 18:50:00+00:00,long,4316.998,2025-12-31 19:10:00+00:00,4315.298,4315.298,4334.835,-1.1813765028381886,SL,aggressive,fvg
2026-01-14 11:55:00+00:00,long,4629.065,2026-01-14 12:10:00+00:00,4638.015,4625.295,4638.015,5.800307405491646,TP,aggressive,ob
2026-01-14 13:35:00+00:00,long,4629.825,2026-01-14 14:35:00+00:00,4623.145,4623.145,4641.595,-4.32845733909989,SL,aggressive,ob
2026-01-15 16:15:00+00:00,short,4621.845,2026-01-15 16:15:00+00:00,4623.468,4623.468,4617.685,-1.0534753978116482,SL,aggressive,ob
2026-01-15 16:20:00+00:00,short,4620.475,2026-01-15 16:25:00+00:00,4613.095,4624.825,4613.095,4.7917151375129885,TP,aggressive,ob
2026-01-16 15:15:00+00:00,short,4615.848,2026-01-16 15:15:00+00:00,4602.575,4619.348,4602.575,8.626583890977436,TP,aggressive,ob
2026-01-16 21:25:00+00:00,short,4592.875,2026-01-18 23:00:00+00:00,4598.535,4598.535,4583.215,-3.6970307269410907,SL,aggressive,fvg
2026-01-27 12:50:00+00:00,short,5084.895,2026-01-27 13:00:00+00:00,5091.515,5091.515,5073.075,-3.9056853681343804,SL,aggressive,ob
2026-01-27 13:05:00+00:00,short,5088.405,2026-01-27 13:10:00+00:00,5081.745,5092.455,5081.745,3.926574240847488,TP,aggressive,ob
2026-01-27 13:15:00+00:00,short,5089.825,2026-01-27 13:15:00+00:00,5092.275,5092.275,5081.745,-1.4440575068886365,SL,aggressive,ob
2026-01-27 13:20:00+00:00,short,5088.275,2026-01-27 13:25:00+00:00,5080.0,5093.195,5080.0,4.878863662046354,TP,aggressive,ob
2026-01-29 01:15:00+00:00,long,5479.235,2026-01-29 15:00:00+00:00,5445.298,5445.298,5596.805,-18.58124354951005,SL,aggressive,fvg
2026-01-30 05:30:00+00:00,short,5229.615,2026-01-30 06:25:00+00:00,5157.115,5239.475,5157.115,41.59005968890635,TP,aggressive,fvg
2026-02-05 01:05:00+00:00,long,5001.795,2026-02-05 01:10:00+00:00,4989.915,4989.915,5023.405,-7.125441966334151,SL,aggressive,fvg
2026-02-13 08:10:00+00:00,short,4985.559,2026-02-13 08:10:00+00:00,4987.948,4987.948,4971.815,-1.4375519375059789,SL,aggressive,fvg
2026-02-13 08:15:00+00:00,short,4979.118,2026-02-13 11:00:00+00:00,4944.475,4989.815,4944.475,20.872973888146472,TP,aggressive,fvg
2026-02-15 23:10:00+00:00,long,5022.148,2026-02-16 00:00:00+00:00,5006.128,5006.128,5073.128,-9.569610453535281,SL,aggressive,fvg
2026-02-17 09:55:00+00:00,short,4927.005,2026-02-17 10:10:00+00:00,4932.675,4932.675,4856.648,-3.452401611120796,SL,aggressive,fvg
2026-02-20 03:10:00+00:00,long,4993.358,2026-02-20 03:40:00+00:00,4988.965,4988.965,5002.828,-2.6393060541623665,SL,aggressive,ob
2026-02-24 00:05:00+00:00,long,5229.865,2026-02-24 01:00:00+00:00,5216.795,5216.795,5249.575,-7.497325456775487,SL,aggressive,ob
2026-02-26 16:00:00+00:00,short,5185.388,2026-02-26 16:10:00+00:00,5173.698,5192.715,5173.698,6.763235460875599,TP,aggressive,ob
2026-02-26 19:40:00+00:00,short,5183.845,2026-02-26 19:45:00+00:00,5191.145,5191.145,5171.945,-4.224663353167493,SL,aggressive,ob
2026-02-27 00:40:00+00:00,long,5174.345,2026-02-27 00:40:00+00:00,5170.735,5170.735,5181.278,-2.0930185366460385,SL,aggressive,fvg
2026-02-27 00:45:00+00:00,long,5174.795,2026-02-27 01:00:00+00:00,5169.365,5169.365,5187.585,-3.1479507883888873,SL,aggressive,fvg
2026-02-27 01:05:00+00:00,long,5175.275,2026-02-27 01:05:00+00:00,5167.805,5167.805,5187.585,-4.330204675113503,SL,aggressive,fvg
2026-02-27 01:10:00+00:00,long,5174.825,2026-02-27 01:35:00+00:00,5189.905,5166.035,5189.905,8.742324619673088,TP,aggressive,fvg
2026-03-02 11:50:00+00:00,long,5381.015,2026-03-02 12:10:00+00:00,5392.995,5374.365,5392.995,6.679037319167237,TP,aggressive,ob
2026-03-08 22:45:00+00:00,long,5125.125,2026-03-08 22:50:00+00:00,5104.615,5104.615,5167.855,-12.00556083997964,SL,aggressive,fvg
2026-03-09 05:25:00+00:00,short,5094.555,2026-03-09 05:30:00+00:00,5105.045,5105.045,5075.455,-6.177183286862022,SL,aggressive,ob
