entry_time,exit_time,direction,leg,pnl,exit_hit
2026-01-18 19:15:00+00:00,2026-01-18 19:15:00+00:00,long,remainder,-3.980062299780026,runner_resistance
2026-01-18 19:17:00+00:00,2026-01-18 19:17:00+00:00,long,remainder,-3.968391496777553,runner_resistance
2026-01-18 19:19:00+00:00,2026-01-18 19:19:00+00:00,long,remainder,-3.717878400646003,runner_resistance
2026-01-18 19:21:00+00:00,2026-01-18 19:21:00+00:00,long,remainder,-3.7163808129556815,runner_resistance
2026-01-18 19:23:00+00:00,2026-01-18 19:23:00+00:00,long,remainder,-3.704938981641953,runner_resistance
2026-01-18 19:25:00+00:00,2026-01-18 19:25:00+00:00,long,remainder,-3.703450601171839,runner_resistance
2026-01-18 20:29:00+00:00,2026-01-18 20:31:00+00:00,long,remainder,-1.9821757319117888,ema21_close
2026-01-19 12:49:00+00:00,2026-01-19 12:49:00+00:00,long,remainder,-2.6395671550898676,ema21_close
2026-01-20 21:30:00+00:00,2026-01-20 21:30:00+00:00,long,remainder,-2.361739398662084,ema21_close
2026-01-21 08:32:00+00:00,2026-01-21 08:32:00+00:00,long,full,-5.7343592122211104,init_sl
2026-01-21 21:41:00+00:00,2026-01-21 21:41:00+00:00,long,partial,-0.9031451177441213,partial_tp
2026-01-21 21:41:00+00:00,2026-01-21 21:41:00+00:00,long,remainder,-2.9198193978414237,ema21_close
2026-01-23 16:43:00+00:00,2026-01-23 16:43:00+00:00,long,full,-9.395190998116384,init_sl
2026-01-23 16:45:00+00:00,2026-01-23 16:45:00+00:00,long,full,-9.293851458626108,init_sl
2026-01-23 16:55:00+00:00,2026-01-23 16:55:00+00:00,long,remainder,-2.68020237283496,ema21_close
2026-02-01 18:31:00+00:00,2026-02-01 18:31:00+00:00,long,remainder,-4.408863529652495,ema21_close
2026-02-07 20:47:00+00:00,2026-02-07 20:47:00+00:00,long,remainder,-1.862118535659881,ema21_close
2026-02-08 10:07:00+00:00,2026-02-08 10:07:00+00:00,short,remainder,-2.1456567189435027,ema21_close
2026-02-08 20:23:00+00:00,2026-02-08 20:23:00+00:00,long,partial,-0.9291674159566836,partial_tp
2026-02-08 20:23:00+00:00,2026-02-08 20:24:00+00:00,long,remainder,3.758219368064686,runner_resistance
2026-02-09 19:52:00+00:00,2026-02-09 19:52:00+00:00,long,remainder,-2.8622971985064725,ema21_close
2026-02-15 13:46:00+00:00,2026-02-15 13:47:00+00:00,short,remainder,-1.988526392435345,ema21_close
2026-02-19 07:15:00+00:00,2026-02-19 07:15:00+00:00,long,remainder,-15.921771698246301,runner_resistance
2026-02-19 07:35:00+00:00,2026-02-19 07:35:00+00:00,long,remainder,-15.531092258120161,runner_resistance
2026-02-19 07:37:00+00:00,2026-02-19 07:37:00+00:00,long,remainder,-15.35069117007793,runner_resistance
2026-02-19 07:43:00+00:00,2026-02-19 07:43:00+00:00,long,full,-3.793157924666579,init_sl
2026-02-19 15:48:00+00:00,2026-02-19 15:50:00+00:00,long,remainder,-2.8576122935297548,ema21_close
2026-02-19 19:32:00+00:00,2026-02-19 19:34:00+00:00,long,remainder,-2.3330747392484152,ema21_close
2026-02-19 21:03:00+00:00,2026-02-19 21:03:00+00:00,long,full,-5.535395612460714,init_sl
2026-02-19 21:17:00+00:00,2026-02-19 21:17:00+00:00,long,full,-2.4605972875384996,init_sl
2026-02-19 21:19:00+00:00,2026-02-19 21:19:00+00:00,long,full,-2.459932348860554,init_sl
2026-02-20 21:17:00+00:00,2026-02-20 21:18:00+00:00,long,partial,-0.937811713422335,partial_tp
2026-02-20 21:17:00+00:00,2026-02-20 21:21:00+00:00,long,remainder,-1.829009791806449,breakeven
2026-02-21 17:53:00+00:00,2026-02-21 18:07:00+00:00,long,remainder,-2.2167801305878547,ema21_close
2026-02-22 13:51:00+00:00,2026-02-22 13:54:00+00:00,long,remainder,-2.3940182829817873,ema21_close
2026-02-22 13:56:00+00:00,2026-02-22 14:05:00+00:00,long,partial,-0.9431755961093399,partial_tp
2026-02-22 13:56:00+00:00,2026-02-22 14:05:00+00:00,long,remainder,-0.5894597613898647,runner_resistance
2026-02-23 15:00:00+00:00,2026-02-23 15:00:00+00:00,long,full,-2.4500265548515143,init_sl
2026-02-24 17:35:00+00:00,2026-02-24 17:35:00+00:00,long,partial,-0.94857447267449,partial_tp
2026-02-24 17:35:00+00:00,2026-02-24 17:39:00+00:00,long,remainder,-0.26370982626474326,runner_resistance
2026-03-06 15:43:00+00:00,2026-03-06 15:43:00+00:00,long,full,-10.68546877090652,init_sl
2026-03-07 21:01:00+00:00,2026-03-07 21:10:00+00:00,long,partial,-0.9468426523237957,partial_tp
2026-03-07 21:01:00+00:00,2026-03-07 21:10:00+00:00,long,remainder,-1.824219977292887,runner_resistance
2026-03-08 08:19:00+00:00,2026-03-08 08:19:00+00:00,long,full,-4.242972186865659,init_sl
2026-03-08 10:47:00+00:00,2026-03-08 10:48:00+00:00,short,remainder,-1.8666787186444276,ema21_close
2026-03-08 19:09:00+00:00,2026-03-08 19:09:00+00:00,short,remainder,-1.840014199924352,ema21_close
2026-03-08 19:13:00+00:00,2026-03-08 19:13:00+00:00,short,remainder,-1.8396408517252387,ema21_close
2026-03-08 19:16:00+00:00,2026-03-08 19:17:00+00:00,short,remainder,-1.830489762961864,ema21_close
2026-03-14 08:54:00+00:00,2026-03-14 08:54:00+00:00,long,remainder,-2.6042510101171943,runner_resistance
2026-03-14 14:24:00+00:00,2026-03-14 14:28:00+00:00,long,remainder,-1.9651822191065156,ema21_close
2026-03-14 15:09:00+00:00,2026-03-14 15:11:00+00:00,short,remainder,-1.8567139383478777,ema21_close
